step,object,x,y,zoom,page,question,answer,alt_text,layer1_button,layer1_content,layer2_button,layer2_content,clip_start,clip_end,loop
paso,objeto,x,y,zoom,pagina,pregunta,respuesta,texto_alt,boton1,contenido1,boton2,contenido2,inicio_clip,fin_clip,bucle
1,,0.5,0.5,1,,Work Cited,"Smith, Emily Esfahani. “The Secret to Love Is Just Kindness.” *The Atlantic*, 14 Feb. 2024, [www.theatlantic.com/family/archive/2024/02/love-kindness-relationships/677331/](http://www.theatlantic.com/family/archive/2024/02/love-kindness-relationships/677331/).
",,,,,,,,
